IV68,PN68,ER33401,ER33402,ER33403,CHRACE,BIOPR97,BIOGPR97,PCRAW97,WICpreg,FDSTMPpreg,AFDCpreg,Q1A21B,Q1A21C,Q1A21F,Q1A21G,Q1A21M,Q1A21Q,Q1A27,Q1A28,WIC97,Q1D4A,Q1D4B,Q1D4C,Q1D4D,Q1D4E,Q1G4,Q1G6,Q1G7,Q1G10,Q1G33A,Q1H12F,Q1H12H,Q1K5B,Q1K10A,HOME97,Q2A2,AGE97,Q3A3,LWRAW97,LW_SS97,PC_SS97,CALRAW97,CAL_SS97,APRAW97,AP_SS97,ER33601,ER33602,ER33603,Q24B2,LWRAW02,LWSS02,PCRAW02,PCSS02,APRAW02,APSS02,AGE02,CHID,read97,read02,mathraw97,math97,math02,readss97,bthord,bthwht,PCID,PCGID_97,PCGPN_97,OCGID_97,OCGPN_97,PCGID_02,PCGPN_02,OCGID_02,OCGPN_02,PCBTHORD,PCBTHWHT,state,ER10008,pcage,pcgender,childnum,homeval,ER11049,AFDC97HD,ER11273,AFDC97WF,ER11600,inherit97,ER11743,Parentspoor,faminc97,hdeduc97,wfeduc97,ER18386,AFDC02HD,ER18698,AFDC02WF,ER19047,INHERIT02,FAMINC02,hdeduc02,wfeduc02,nfa01,nw01,inc97,inc02,inherit,loginc97,loginc02,loginherit97,cloth
340,172,6300,2,20,1,1,2,,0,5,0,5,5,5,5,5,5,1,12,0,1,1,1,1,5,0,5,1,0,1,0,0,0,0,21.8,,,,,,,,,,,0,0,0,,,,,,,,,340031,,,,,,,1,0,340172,340,172,340,4,,,,,99,999,17,5,37,1,3,0,5,0,0,0,0,0,4,0,95442.27,16,17,,,,,,,,,,,,95442.27414,1,1,11.46627688,0,0,1
340,34,6300,5,30,1,1,2,,0,5,0,5,5,5,5,5,5,1,12,5,0,0,0,0,0,2,1,1,0,0,0,0,0,0,16.3,,,,,,,,,,,0,0,0,,,,,,,,,340034,,,,,,,3,0,340172,340,172,340,4,,,,,99,999,17,5,37,1,3,0,5,0,0,0,0,0,4,0,95442.27,16,17,,,,,,,,,,,,95442.27414,1,1,11.46627688,0,0,1
343,171,1932,2,20,1,1,2,,0,5,0,5,5,5,5,5,5,1,12,0,1,1,1,1,5,0,0,0,0,1,0,0,0,0,22,3,4,99,10,110,,,,17,127,478,2,20,4,55,157,30,124,42,134,10,343032,,85,17,17,42,110,1,0,343171,343,171,343,30,343,171,343,30,99,999,48,4,25,1,2,0,5,0,0,0,0,0,4,0,52083.57,13,15,5,0,0,0,0,0,79398,13,15,11174,58917,52083.57196,79398.37398,1,10.86060486,11.28223317,0,1
343,33,1932,4,30,1,1,2,,0,5,0,5,5,5,5,5,5,1,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,,,,,,,,,,478,4,30,1,27,122,22,140,24,115,6,343033,,49,,,24,,2,0,343171,343,171,343,30,343,171,343,30,99,999,48,4,25,1,2,0,5,0,0,0,0,0,4,0,52083.57,13,15,5,0,0,0,0,0,79398,13,15,11174,58917,52083.57196,79398.37398,1,10.86060486,11.28223317,0,1
344,6,2636,1,10,1,2,2,,0,5,0,5,5,9,5,5,5,1,9,0,0,0,0,0,0,0,5,5,1,1,5,5,3,0,18.9,,,,,,,,,,,7113,2,20,12,57,165,43,166,60,168,18,344031,,100,,,60,,2,0,344006,344,6,,,344,6,344,187,4,995,48,4,32,2,3,0,1,1,4660,,0,0,0,0,11051.8,9,0,5,0,0,0,0,0,143962,13,9,-42664,-18285,11051.80062,143961.7886,1,9.310348646,11.87730319,0,1
344,32,2636,4,30,1,2,2,,0,5,0,1,5,5,5,5,5,1,12,0,0,0,0,0,0,0,5,1,1,1,5,5,3,0,17.9,,,,,,,,,,,7113,5,33,11,57,168,43,176,60,171,16,344032,,100,,,60,,3,0,344006,344,6,,,344,6,344,187,4,995,48,4,32,2,3,0,1,1,4660,,0,0,0,0,11051.8,9,0,5,0,0,0,0,0,143962,13,9,-42664,-18285,11051.80062,143961.7886,1,9.310348646,11.87730319,0,1
344,178,1537,2,20,1,1,2,22,0,5,0,5,5,5,5,5,5,1,12,0,0,0,0,0,0,3,5,5,1,1,5,5,0,0,22,2,9,3,36,94,100,22,114,35,117,2472,2,20,9,47,92,30,99,47,112,16,344033,58,77,57,35,47,97,1,0,344178,344,178,344,4,344,178,344,4,99,999,48,5,37,1,3,39231,5,0,0,0,0,0,6,0,62768.85,17,16,5,0,0,0,0,0,74697,17,16,4876,20113,62768.84735,74697.15447,1,11.04721417,11.22119728,0,1
344,34,1537,4,30,1,1,2,16,0,5,0,5,5,5,5,5,5,1,12,0,0,0,0,0,0,3,5,5,1,1,5,5,0,0,23,2,7,2,30,99,101,12,103,28,113,2472,4,30,7,44,92,24,91,39,99,14,344034,46,68,40,28,39,100,2,0,344178,344,178,344,4,344,178,344,4,99,999,48,5,37,1,3,39231,5,0,0,0,0,0,6,0,62768.85,17,16,5,0,0,0,0,0,74697,17,16,4876,20113,62768.84735,74697.15447,1,11.04721417,11.22119728,0,1
344,184,2317,2,20,1,1,0,,0,5,0,5,5,5,5,5,5,1,12,5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,15.2,2,,,,,,,,,,4019,71,20,,,,,,,,,344186,,,,,,,2,1,344184,344,184,344,179,,,,,99,999,6,4,38,1,2,0,5,0,0,0,0,0,4,0,33065.73,12,13,5,0,0,,0,0,26118,12,0,30474,30474,33065.73209,26117.88618,1,10.40625274,10.17037565,0,1
350,3,2084,2,20,1,1,2,,0,5,0,5,5,5,5,5,5,1,12,0,1,1,1,1,5,1,5,5,0,1,0,0,0,0,23,2,5,99,9,93,,,,16,110,277,2,20,5,48,116,31,120,37,107,12,350030,,79,16,16,37,93,1,1,350003,350,3,350,170,350,3,350,170,1,995,17,4,32,1,2,0,5,0,0,0,0,0,6,0,29579.82,17,17,5,0,0,,0,0,20738,17,17,-26919,-26919,29579.81932,20737.60163,1,10.29484763,9.939703835,0,1
350,31,2084,4,30,1,1,2,,0,5,0,5,5,5,5,5,5,1,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,,,,,,,,,,277,4,30,2,35,118,12,95,23,96,8,350031,,47,,,23,,2,0,350003,350,3,350,170,350,3,350,170,1,995,17,4,32,1,2,0,5,0,0,0,0,0,6,0,29579.82,17,17,5,0,0,,0,0,20738,17,17,-26919,-26919,29579.81932,20737.60163,1,10.29484763,9.939703835,0,1
351,3,2315,2,20,1,1,2,2,0,5,0,1,5,5,5,5,5,1,12,0,0,0,0,0,0,5,5,5,1,2,5,5,3,0,19,1,7,1,9,62,77,5,89,17,81,717,2,20,,,,,,,,,351038,11,,22,17,,69.5,3,0,351003,351,3,351,170,351,3,351,170,1,995,56,5,44,1,2,103120,5,0,0,0,0,0,4,0,64895.14,11,10,5,0,0,0,0,0,61920,11,10,27935,17777,64895.14206,61920.28455,1,11.08052805,11.0336031,0,1
351,6,2631,2,22,1,1,2,26,1,1,1,5,5,5,5,5,5,1,12,0,0,0,0,0,0,6,5,1,1,2,5,5,3,0,16.7,4,11,6,44,99,99,21,85,36,100,772,1,10,14,52,99,34,107,42,96,18,351037,70,86,57,36,42,99,3,1,351006,351,6,351,172,351,6,,,4,995,56,5,38,1,3,0,5,0,0,0,0,0,4,0,45395.33,11,10,5,0,0,,0,0,34998,12,0,3047,3047,45395.3271,34997.96748,1,10.72316445,10.46304527,0,1
351,173,2632,2,20,1,1,2,,0,5,0,5,5,5,5,5,5,1,0,0,1,1,1,1,5,12,5,1,0,2,0,0,0,0,19,2,3,99,3,91,,,,9,106,6604,2,20,,,,,,,,,351039,,,9,9,,91,1,0,351173,351,173,351,5,351,173,351,5,99,999,56,3,37,1,1,95274,5,0,0,0,0,0,4,0,33794.3,12,12,5,0,0,0,0,0,84622,12,12,111739,201334,33794.29907,84621.95122,1,10.4280474,11.34594898,0,1
354,171,3942,2,22,1,1,0,,0,5,0,5,5,1,5,5,1,1,12,0,1,1,1,1,5,0,0,0,0,2,0,0,0,0,21,1,3,99,5,104,,,,1,78,4203,2,20,2,25,78,10,78,23,79,9,354031,,35,1,1,23,104,1,1,354171,354,171,354,3,354,171,,,99,999,39,3,39,1,1,140109,5,0,0,0,0,0,1,0,54922.74,10,14,5,0,0,0,0,0,73130,10,14,82281,143229,54922.74143,73130.0813,1,10.91368278,11.19999507,0,1
355,3,4783,2,22,1,2,2,26,0,5,0,5,5,5,5,5,5,1,12,0,0,0,0,0,0,2,5,1,1,1,5,5,0,0,20.1,,12,7,46,102,97,38,127,42,116,4214,2,20,9,49,92,31,97,45,99,18,355031,72,80,80,42,45,99.5,2,1,355003,355,3,355,174,355,3,355,174,1,995,39,4,39,1,2,115450,5,0,0,0,0,0,6,9,82552.24,99,99,5,0,0,0,0,0,100084,99,99,6603,25903,82552.24299,100083.7398,1,11.32118662,11.51376251,0,1
355,171,2885,2,20,1,1,2,23,0,5,0,5,5,1,5,5,5,1,12,0,0,0,0,0,0,4,5,5,1,2,5,5,0,0,25,2,8,2,39,119,122,14,108,35,137,1002,2,20,8,48,98,25,93,39,97,14,355032,62,73,49,35,39,120.5,1,0,355171,355,171,355,4,355,171,355,4,99,999,39,4,41,1,2,200636,5,0,0,0,0,0,4,0,70502.87,16,16,5,0,0,0,0,0,98726,16,16,136119,264111,70502.86604,98725.60976,1,11.16340864,11.50009966,0,1
355,33,2885,4,30,1,1,2,4,0,5,0,5,5,5,5,5,5,1,12,0,0,0,0,0,0,3,5,1,1,2,5,5,0,0,25.3,2,6,0,15,98,101,8,121,24,124,1002,4,30,6,48,108,31,118,47,134,12,355033,19,79,32,24,47,99.5,2,0,355171,355,171,355,4,355,171,355,4,99,999,39,4,41,1,2,200636,5,0,0,0,0,0,4,0,70502.87,16,16,5,0,0,0,0,0,98726,16,16,136119,264111,70502.86604,98725.60976,1,11.16340864,11.50009966,0,1
356,3,3773,2,20,1,1,2,,0,5,0,5,5,5,5,5,5,1,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,,,,,,,,,,4924,2,20,2,32,98,19,108,31,120,8,356031,,51,,,31,,1,0,356003,356,3,356,173,356,3,356,173,1,995,19,3,35,1,1,29143,5,0,0,0,0,0,3,0,45955.76,16,14,5,0,0,0,0,0,57982,16,14,36569,67043,45955.76324,57981.70732,1,10.73543454,10.96788285,0,1
356,177,4709,2,20,1,1,2,,0,5,0,1,5,5,5,5,5,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,,,,,,,,,,,7324,2,20,0,16,86,1,72,22,96,7,356032,,17,,,22,,2,0,356177,356,177,356,30,356,177,356,30,99,999,19,4,24,1,2,67252,5,0,0,,0,0,2,0,201757.01,13,99,5,0,0,,0,0,20894,13,99,-1524,135611,201757.0094,20894.30894,1,12.21481933,9.947232102,0,1
361,175,3074,2,20,1,3,2,29,,0,,5,5,5,5,5,5,1,12,0,0,0,0,0,0,0,5,5,1,1,5,5,2,0,22.3,3,11,5,47,114,113,30,118,41,124,1136,2,20,11,52,102,32,103,48,111,17,361176,76,84,71,41,48,113.5,,1,361175,361,175,361,4,361,175,361,4,99,999,47,3,37,1,1,80703,5,0,0,,0,0,4,0,47076.64,11,15,5,0,0,0,0,0,46699,11,15,68059,148308,47076.63551,46698.78049,1,10.7595321,10.75147333,0,1
368,170,5402,2,20,7,1,2,,0,5,0,5,5,5,5,5,5,1,12,0,1,1,1,1,5,0,0,0,0,1,0,0,0,0,22,1,4,99,12,111,,,,16,115,4169,2,20,5,44,107,28,116,38,118,11,368032,,72,16,16,38,111,1,1,368170,368,170,368,3,368,170,368,3,99,999,39,3,31,1,1,392305,5,0,0,,0,0,4,0,101125.1,17,15,5,0,0,,0,0,116193,17,15,197067,364676,101125.0966,116193.252,1,11.52411361,11.66301005,0,1
374,5,547,2,20,1,1,2,,0,5,0,5,5,5,5,5,5,1,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.9,2,3,99,12,141,,,,16,148,680,2,20,3,45,130,29,140,34,125,9,374030,,74,16,16,34,141,1,0,374005,374,5,374,170,374,5,374,170,3,995,41,3,46,1,1,190548,5,0,0,0,0,0,6,0,66131.46,99,99,5,0,0,0,0,60949,86815,99,99,63996,155419,66131.46417,86814.80894,1,11.09939992,11.3715325,0,1
375,3,3297,2,20,1,1,2,,0,5,0,5,5,5,5,5,5,1,12,0,1,1,1,1,5,1,5,5,1,1,5,1,0,0,20,2,5,0,22,127,,,,19,120,0,0,0,,,,,,,,,375030,,,19,19,,127,1,1,375003,375,3,375,171,,,,,1,995,6,4,35,1,2,325053,5,0,0,0,0,0,8,0,96647.21,16,16,,,,,,,,,,,,96647.21184,1,1,11.47882264,0,0,1
375,31,3297,4,30,1,1,2,,0,5,0,5,5,5,5,5,5,1,12,5,0,0,0,0,0,0,5,1,0,0,0,0,0,0,14,2,,,,,,,,,,0,0,0,,,,,,,,,375031,,,,,,,2,0,375003,375,3,375,171,,,,,1,995,6,4,35,1,2,325053,5,0,0,0,0,0,8,0,96647.21,16,16,,,,,,,,,,,,96647.21184,1,1,11.47882264,0,0,1
377,4,3026,2,20,7,1,2,,0,5,0,5,5,5,5,5,5,1,12,5,0,0,0,0,0,2,5,5,0,0,0,0,0,0,13.4,,,,,,,,,,,1600,2,20,3,41,120,21,115,37,138,9,377030,,62,,,37,,1,0,377004,377,4,377,170,377,4,377,170,2,995,6,4,32,1,2,336262,5,0,0,0,0,0,7,0,291987.23,16,16,5,0,0,0,0,20316,159730,16,16,528221,812648,291987.2274,159729.6789,1,12.58446534,11.98123816,0,1
377,31,3026,4,30,7,1,2,,0,5,0,5,5,5,5,5,5,1,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,,,,,,,,,,,1600,4,30,1,22,103,10,105,25,110,7,377031,,32,,,25,,2,0,377004,377,4,377,170,377,4,377,170,2,995,6,4,32,1,2,336262,5,0,0,0,0,0,7,0,291987.23,16,16,5,0,0,0,0,20316,159730,16,16,528221,812648,291987.2274,159729.6789,1,12.58446534,11.98123816,0,1
391,3,3357,2,20,1,1,2,28,0,5,0,5,5,5,5,5,5,1,12,0,0,0,0,0,0,3,5,5,1,1,5,5,0,0,18.7,1,12,6,52,127,104,27,98,35,97,2554,2,20,12,54,113,37,119,45,100,18,391031,80,91,62,35,45,115.5,2,1,391003,391,3,391,172,391,3,391,172,1,995,34,4,43,1,2,257801,5,0,0,0,0,0,5,0,100878.5,14,16,5,0,0,0,0,0,97681,14,16,2032,129008,100878.5047,97680.89431,1,11.52167215,11.48946126,0,1
391,5,5024,1,10,1,3,2,,0,5,0,5,5,5,5,5,5,1,12,0,0,0,0,0,0,1,5,5,1,1,5,5,0,0,23.9,,,,,,,,,,,6594,1,10,,,,,,,,,391032,,,,,,,1,0,391005,391,5,391,174,391,5,391,174,2,995,34,3,41,1,1,364283,5,0,0,0,0,0,4,0,56043.61,16,17,5,0,0,,0,0,78354,16,17,59425,420038,56043.61371,78353.65854,1,10.93388548,11.26898794,0,1
404,174,1973,2,20,2,1,2,,0,5,0,5,5,5,5,5,5,1,12,0,1,1,1,1,5,0,5,1,1,1,5,5,0,0,18.3,,5,0,6,75,,,,9,73,6619,2,20,5,24,66,11,68,25,74,11,404033,,35,9,9,25,75,1,0,404174,404,174,404,4,404,174,404,4,99,999,5,5,38,1,3,44835,5,0,0,0,0,0,4,0,48197.51,12,13,1,0,0,0,0,0,30606,12,13,914,33420,48197.50779,30605.98374,1,10.78306259,10.32895082,0,1
404,35,1973,5,30,2,1,2,,0,5,0,5,5,5,5,5,5,1,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,,,,,,,,,,,6619,5,30,1,21,101,14,117,20,90,7,404035,,35,,,20,,3,0,404174,404,174,404,4,404,174,404,4,99,999,5,5,38,1,3,44835,5,0,0,0,0,0,4,0,48197.51,12,13,1,0,0,0,0,0,30606,12,13,914,33420,48197.50779,30605.98374,1,10.78306259,10.32895082,0,1
409,30,1216,2,20,1,1,2,,0,5,0,5,5,5,5,5,5,1,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,,,,,,,,,,,6486,2,20,1,21,100,9,99,22,97,7,409033,,30,,,22,,1,0,409030,409,30,409,178,409,30,409,178,1,995,48,3,28,1,1,0,5,0,0,0,0,0,7,0,52709.02,15,15,5,0,0,0,0,0,113247,15,15,5079,13206,52709.01869,113247.1545,1,10.87254185,11.63732792,0,1
409,174,2263,2,20,1,1,0,,0,5,0,9,5,5,5,5,5,1,0,0,0,0,0,0,0,2,5,1,1,1,5,5,0,0,21.9,,,,,,,,,,,6888,2,20,,,,,,,,,409177,,,,,,,3,1,409174,409,174,409,3,,,,,99,999,48,5,42,1,3,72857,5,0,0,,0,0,4,0,30353.22,12,12,5,0,0,,0,1.02E+07,0,12,12,21535,94674,30353.22118,1,1,10.32065793,0,0,1
414,3,5777,1,10,1,2,2,,0,5,0,5,5,5,5,5,5,1,12,0,0,0,0,0,0,0,5,5,1,1,5,5,0,0,16.5,2,,,,,,,,,,370,1,10,,,,,,,,,414039,,,,,,,4,1,414003,414,3,,,414,3,,,1,995,46,5,46,2,3,75333,5,0,0,,0,0,0,0,251490.11,16,0,5,0,0,,0,0,93020,16,0,87157,102394,251490.1122,93020.4187,1,12.43515895,11.4405743,0,1
414,5,2771,2,20,1,1,2,35,0,5,0,5,5,5,5,5,5,1,12,0,0,0,0,0,0,0,5,5,1,2,0,0,0,0,23.9,3,12,6,55,149,135,36,127,40,113,1907,2,20,12,55,124,35,111,48,109,18,414038,90,90,76,40,48,142,2,1,414005,414,5,414,172,414,5,414,172,3,995,4,4,44,1,2,106483,5,0,0,0,0,0,6,0,79637.98,16,16,5,0,0,0,0,0,100523,16,16,196051,260047,79637.97508,100522.5203,1,11.28524633,11.51813706,0,1
419,30,40,1,10,2,2,2,,1,1,1,5,5,5,5,5,5,1,12,0,5,1,1,1,5,5,1,1,1,2,0,0,2,0,10.7,,5,0,9,91,,,,10,83,3,1,10,5,43,99,21,93,28,82,11,419036,,64,10,10,28,91,1,0,419030,419,30,,,,,,,1,995,37,4,24,2,3,0,1,1,298,,0,0,0,0,4008.24,12,0,1,1,298,,0,0,4068,12,0,0,0,4008.239252,4068.121951,1,8.296107335,8.310936735,0,1
419,37,40,3,30,2,2,2,,1,1,1,5,5,5,5,5,5,1,12,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,,,,,,,,,,,3,3,30,2,27,86,16,98,20,73,9,419037,,43,,,20,,2,0,419030,419,30,,,419,30,,,1,995,37,4,24,2,3,0,1,1,298,,0,0,0,0,4008.24,12,0,1,1,298,,0,0,4068,12,0,0,0,4008.239252,4068.121951,1,8.296107335,8.310936735,0,1
419,31,45,1,10,2,2,2,1,1,1,1,5,5,5,5,5,1,1,12,0,0,0,0,0,0,4,1,1,1,2,5,5,0,0,10.1,2,6,1,8,67,83,0,69,15,83,24,1,10,7,14,36,8,49,28,78,12,419034,9,22,15,15,28,75,1,0,419031,419,31,,,419,31,,,2,995,37,3,23,2,2,0,1,0,0,,0,0,0,0,9881.61,11,0,1,0,0,,0,0,7867,11,0,1321,1321,9881.609969,7866.707317,1,9.19843073,8.97039487,0,1
419,35,45,2,30,2,2,2,,1,5,1,5,5,5,5,5,5,1,12,0,1,5,5,5,5,0,1,1,0,2,0,0,0,0,9,2,5,99,4,80,,,,9,88,24,2,30,5,42,99,22,93,37,110,11,419035,,64,9,9,37,80,2,1,419031,419,31,,,419,31,,,2,995,37,3,23,2,2,0,1,0,0,,0,0,0,0,9881.61,11,0,1,0,0,,0,0,7867,11,0,1321,1321,9881.609969,7866.707317,1,9.19843073,8.97039487,0,1
419,173,399,2,20,2,1,2,19,1,5,0,5,5,5,5,5,5,1,12,0,0,0,0,0,0,10,5,1,1,2,5,5,0,0,25.5,,11,6,35,81,82,21,84,28,82,1661,2,20,,,,,,,,,419033,54,,49,28,,81.5,2,1,419173,419,173,419,4,,,,,99,999,37,4,35,1,1,60527,5,0,0,0,0,0,2,0,40351.4,12,13,5,0,0,0,0,0,83055,12,13,47743,62980,40351.40187,83054.87805,1,10.60538142,11.32725685,0,1
428,170,1042,2,20,1,1,2,36,0,5,0,1,5,5,5,5,5,1,12,0,0,0,0,0,0,2,5,5,1,1,0,0,0,0,23.5,,13,8,56,163,136,46,142,52,142,520,2,20,,,,,,,,,428030,92,,98,52,,149.5,1,1,428170,428,170,428,4,,,,,99,999,17,5,43,1,3,504393,5,0,0,0,0,0,7,0,57164.49,17,16,5,0,0,0,0,0,86189,17,16,714115,1039174,57164.48598,86189.02439,1,10.95368811,11.36429812,0,1
428,32,1042,5,30,1,1,2,12,0,5,0,5,5,5,5,5,5,1,0,0,0,0,0,0,0,1,5,5,1,2,5,5,0,0,25.4,,6,1,21,102,110,12,129,36,156,520,5,30,6,49,114,29,111,49,141,12,428032,33,78,48,36,49,106,3,0,428170,428,170,428,4,428,170,428,4,99,999,17,5,43,1,3,504393,5,0,0,0,0,0,7,0,57164.49,17,16,5,0,0,0,0,0,86189,17,16,714115,1039174,57164.48598,86189.02439,1,10.95368811,11.36429812,0,1
432,31,756,3,30,1,2,1,,0,5,0,1,5,5,5,5,5,1,8,0,1,1,1,1,5,10,1,1,0,3,0,0,0,0,19.7,,4,99,10,109,,,,8,93,4767,1,10,5,46,113,26,109,32,96,11,432032,,72,8,8,32,109,1,1,432031,432,31,432,172,432,31,,,1,995,34,4,43,1,1,0,1,0,0,0,0,0,4,0,35674,12,12,1,0,0,,0,0,34955,10,0,-12190,-12190,35674.00187,34955.13415,1,10.48217746,10.46182064,0,1
433,8,2967,2,20,1,2,2,28,0,5,0,5,5,5,1,5,5,1,12,0,0,0,0,0,0,2,5,1,2,1,5,5,0,0,23.9,,12,7,44,,,29,,37,,0,0,0,,,,,,,,,433031,72,,66,37,,,1,1,433008,433,8,433,173,,,,,5,995,34,6,38,1,4,50439,5,0,0,0,0,0,4,0,56872.52,12,12,,,,,,,,,,,,56872.52117,1,1,10.94856757,0,0,1
433,34,2967,5,30,1,1,2,12,0,5,0,5,5,5,5,5,5,1,12,0,0,0,0,0,0,3,5,1,2,1,0,0,0,0,22.9,,6,1,27,,,12,,29,,0,0,0,,,,,,,,,433034,39,,41,29,,,3,0,433008,433,8,433,173,,,,,5,995,34,6,38,1,4,50439,5,0,0,0,0,0,4,0,56872.52,12,12,,,,,,,,,,,,56872.52117,1,1,10.94856757,0,0,1
433,174,5511,2,20,1,1,2,,0,5,0,5,5,5,5,5,5,1,12,5,0,0,0,0,0,0,5,1,0,0,0,0,0,0,16.3,,,,,,,,,,,0,0,0,,,,,,,,,433037,,,,,,,1,0,433174,433,174,433,5,,,,,99,999,34,3,31,1,1,115450,5,0,0,0,0,0,6,3,80276.6,12,15,,,,,,,,,,,,80276.60327,1,1,11.29323349,0,0,1
433,175,1576,2,20,1,1,2,,0,5,0,1,5,5,5,5,5,1,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.9,4,,,,,,,,,,1111,2,20,2,43,135,19,115,34,136,8,433038,,62,,,34,,2,0,433175,433,175,433,30,433,175,433,30,99,999,42,5,27,1,3,43714,5,0,0,0,0,0,98,0,33042.04,13,10,5,0,0,,0,0,33394,13,10,-3700,-3700,33042.03685,33394.32927,1,10.40553587,10.41614138,0,1
433,40,1576,5,30,1,1,2,,0,5,0,5,5,5,5,5,5,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.4,4,,,,,,,,,,1111,5,30,1,24,108,13,112,19,93,7,433040,,37,,,19,,3,0,433175,433,175,433,30,433,175,433,30,99,999,42,5,27,1,3,43714,5,0,0,0,0,0,98,0,33042.04,13,10,5,0,0,,0,0,33394,13,10,-3700,-3700,33042.03685,33394.32927,1,10.40553587,10.41614138,0,1
452,30,2252,1,10,1,2,2,,1,1,1,5,5,5,5,1,5,1,8,0,9,9,9,9,9,0,0,0,0,9,0,0,1,0,13.3,,,,,,,,,,,1821,1,10,3,22,72,10,76,24,86,9,452038,,32,,,24,,1,0,452030,452,30,,,452,30,,,1,995,19,2,24,2,1,0,1,1,150,,0,0,0,0,13338.38,13,0,1,1,150,,0,0,12887,13,0,-39601,-39601,13338.38006,12886.56504,1,9.498400878,9.463940578,0,1
452,177,2038,2,20,1,1,2,,0,5,0,5,5,5,5,5,5,1,12,0,1,1,1,1,5,0,5,5,0,1,0,0,0,0,20.9,,5,99,8,89,,,,16,110,1428,2,20,5,43,99,27,108,35,100,11,452037,,70,16,16,35,89,2,0,452177,452,177,452,31,452,177,452,31,99,999,19,4,26,1,2,33626,5,0,0,0,0,0,5,0,26093.91,13,14,5,0,0,0,0,0,60280,13,14,124945,162530,26093.90654,60280.0813,1,10.1694571,11.006757,0,1
452,178,2038,3,30,1,2,0,20,0,5,0,5,5,5,5,5,5,1,12,0,0,0,0,0,0,2,5,1,1,1,5,5,0,0,25.4,,7,2,35,113,115,16,121,29,118,1428,3,30,,,,,,,,,452178,55,,45,29,,114,1,1,452177,452,177,452,31,,,,,99,999,19,4,26,1,2,33626,5,0,0,0,0,0,5,0,26093.91,13,14,5,0,0,0,0,0,60280,13,14,124945,162530,26093.90654,60280.0813,1,10.1694571,11.006757,0,1
452,179,5938,2,20,1,1,2,,1,5,0,5,5,5,5,5,5,1,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,,,,,,,,,,0,0,0,,,,,,,,,452187,,,,,,,1,0,452179,452,179,452,186,,,,,99,999,19,3,30,1,1,30264,5,0,0,0,0,0,4,0,25923.53,12,12,,,,,,,,,,,,25923.53396,1,1,10.16290648,0,0,1
455,3,2440,2,20,1,1,2,,0,5,0,5,5,5,1,5,5,1,12,0,0,0,0,0,0,10,5,5,1,1,5,5,0,0,23.9,,,,,,,,,,,1142,2,20,,,,,,,,,455032,,,,,,,1,0,455003,455,3,455,173,,,,,1,995,37,4,34,1,2,125538,5,0,0,0,0,0,2,0,42593.15,12,12,5,0,0,0,0,0,7120,12,12,386008,416482,42593.14642,7119.735772,1,10.65944864,8.870625893,0,1
455,33,2440,4,30,1,1,2,,0,5,0,1,5,5,5,5,5,1,12,0,0,0,0,0,0,2,5,1,1,2,5,5,0,0,23.9,,,,,,,,,,,1142,4,30,,,,,,,,,455033,,,,,,,2,0,455003,455,3,455,173,,,,,1,995,37,4,34,1,2,125538,5,0,0,0,0,0,2,0,42593.15,12,12,5,0,0,0,0,0,7120,12,12,386008,416482,42593.14642,7119.735772,1,10.65944864,8.870625893,0,1
455,30,2762,2,20,1,1,2,,0,5,0,5,5,5,5,5,5,1,12,0,1,1,1,1,5,2,8,1,0,2,0,0,0,0,17.6,2,,,,,,,,,,5295,2,20,2,29,84,,,12,46,9,455034,,,,,12,,1,0,455030,455,30,455,180,455,30,455,180,2,995,37,3,26,1,1,11209,5,0,0,0,0,0,2,0,31384.42,14,12,5,0,0,0,0,0,44923,14,12,13002,27224,31384.42368,44922.76423,1,10.35406699,10.71269994,0,1
459,170,4277,2,20,1,1,2,,0,5,0,5,5,5,5,5,5,1,12,0,1,1,1,1,5,5,1,1,0,1,0,0,0,0,23,1,4,99,20,134,,,,17,121,2782,2,20,5,52,136,26,112,40,125,10,459031,,78,17,17,40,134,1,1,459170,459,170,459,4,459,170,459,4,99,999,48,3,39,1,1,240988,5,0,0,0,0,0,2,0,138763.99,17,16,5,0,0,0,0,0,141454,17,16,28443,134087,138763.9875,141454.4715,1,11.84052984,11.85973319,0,1
